date,GSCP,lead_GSCP_1M,rfr,lead_date
2012-12-31,1426.18994140625,1498.109985351562,0.03500000014901161,2013-01-31
2013-03-28,1569.18994140625,1597.569946289062,0.06499999761581421,2013-04-30
2013-06-28,1606.280029296875,1685.72998046875,0.02999999932944775,2013-07-31
2013-09-30,1681.550048828125,1756.5400390625,0.004999999888241291,2013-10-31
2013-12-31,1848.359985351562,1782.589965820312,0.06300000101327896,2014-01-31
2014-03-31,1872.339965820312,1883.949951171875,0.02800000086426735,2014-04-30
2014-06-30,1960.22998046875,1930.670043945312,0.01999999955296516,2014-07-31
2014-09-30,1972.2900390625,2018.050048828125,0.0130000002682209,2014-10-31
2014-12-31,2058.89990234375,1994.989990234375,0.03700000047683716,2015-01-30
2015-03-31,2067.889892578125,2085.510009765625,0.02500000037252903,2015-04-30
2015-06-30,2063.110107421875,2103.840087890625,0.009999999776482582,2015-07-31
2015-09-30,1920.030029296875,2079.360107421875,0.004999999888241291,2015-10-30
2015-12-31,2043.93994140625,1940.239990234375,0.1480000019073486,2016-01-29
2016-03-31,2059.739990234375,2065.300048828125,0.193000003695488,2016-04-29
2016-06-30,2098.860107421875,2173.60009765625,0.2479999959468842,2016-07-29
2016-09-30,2168.27001953125,2126.14990234375,0.2599999904632568,2016-10-31
2016-12-30,2238.830078125,2278.8701171875,0.4799999892711639,2017-01-31
2017-03-31,2362.719970703125,2384.199951171875,0.7379999756813049,2017-04-28
2017-06-30,2423.409912109375,2470.300048828125,0.9929999709129333,2017-07-31
2017-09-29,2519.360107421875,2575.260009765625,1.027999997138977,2017-10-31
2017-12-29,2673.610107421875,2823.81005859375,1.355000019073486,2018-01-31
2018-03-29,2640.8701171875,2648.050048828125,1.669999957084656,2018-04-30
2018-06-29,2718.3701171875,2816.2900390625,1.879999995231628,2018-07-31
2018-09-28,2913.97998046875,2711.739990234375,2.150000095367432,2018-10-31
2018-12-31,2506.85009765625,2506.85009765625,2.299999952316284,2019-01-28
